Country,AF,Temp
Argentina,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",14.457124999999998
Australia,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",22.142874999999997
Austria,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",8.055125
Belgium,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",10.060125
Bolivia,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",20.640874999999998
Brazil,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",25.348125
Britain,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",9.10825
Canada,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",-1.6406666666666676
Chile,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",10
China,"[[0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644, 120.963], [0.748, 0.131, 0.0644,",9.295
